INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,SALES_PRICE
1586,2,2,4,Yes,Commercial,14316000
1973,2,1,5,Yes,Commercial,23307000
1023,1,1,3,Yes,House,9735150
884,1,1,3,No,Commercial,11336400
1640,1,1,4,No,Commercial,17701600
622,1,1,2,No,Others,6572900
1880,2,1,5,Yes,House,13423020
2413,4,2,6,No,Others,13122040
1649,1,1,4,No,Commercial,18939100
1729,2,1,4,Yes,Commercial,12803570
1942,2,1,5,No,House,12330740
711,1,1,2,Yes,Others,8050270
885,1,1,3,No,House,7194600
1688,2,1,4,Yes,House,11412700
1236,2,2,4,No,Commercial,12035355
926,1,1,3,No,House,6877000
1686,2,1,4,No,Others,10346400
1344,2,2,4,No,Commercial,10809500
1437,2,1,4,No,Others,10200600
1430,2,2,4,Yes,Others,6635750
1081,1,1,3,No,House,6190150
1352,2,2,4,Yes,House,6507250
1986,3,2,5,No,House,11350400
1758,1,1,4,Yes,Commercial,19285540
607,1,1,2,No,Other,5856625
2139,3,2,5,Yes,Others,12472000
1488,2,1,4,No,Others,8441900
1645,2,1,4,No,House,7579320
950,1,1,3,Yes,Others,9759000
928,1,1,3,Yes,Commercial,12423800
1693,2,1,4,Yes,Commercial,15495760
1873,3,2,5,Yes,Others,11022270
721,1,1,2,No,Others,7605550
1190,1,1,3,Yes,House,7967750
1593,2,1,4,No,Others,8946800
786,1,1,2,Yes,Others,9244820
1195,1,1,3,No,Others,9821600
1824,3,2,5,No,House,8549060
1906,3,2,5,Yes,Commercial,15852740
656,1,1,2,No,Commercial,8757635
727,1,1,2,No,Others,8415990
931,1,1,3,Yes,Others,9935595
1898,3,2,5,Yes,Commercial,16617860
1698,1,1,4,No,House,12412050
1926,2,1,5,Yes,Commercial,22630540
1481,2,2,4,Yes,Commercial,9901500
1506,1,1,4,No,House,10449910
1020,1,1,3,No,House,7948600
889,1,1,3,No,Others,9098680
1015,1,1,3,Yes,House,8342850
1682,1,1,4,No,Commercial,18662350
869,1,1,3,No,Others,8172630
1445,2,2,4,No,House,5856500
1919,2,1,5,Yes,House,14704160
1243,2,2,4,Yes,Commercial,13360440
857,1,1,2,No,House,4928250
1055,1,1,3,Yes,Others,7315125
1778,3,2,5,No,Others,10998320
851,1,1,2,No,Others,3936375
1021,1,1,3,Yes,Others,9201770
2203,3,2,5,Yes,Commercial,17891240
613,1,1,2,No,Commercial,5144500
738,1,1,2,No,Commercial,8312670
1489,2,2,4,No,House,8007250
795,1,1,2,Yes,House,8479250
1909,3,2,5,Yes,Others,10129160
1252,2,1,4,No,House,9482200
1077,1,1,3,No,Commercial,9846750
1524,2,1,4,No,Others,8675820
1049,1,1,3,Yes,House,10262450
1780,2,1,4,No,Others,8671050
946,1,1,3,No,Commercial,11165550
906,1,1,3,Yes,House,9464800
2344,4,2,6,No,Commercial,18849880
929,1,1,3,Yes,Others,9480425
1843,2,1,5,No,House,12264750
1918,2,1,5,Yes,Commercial,21875050
1507,2,1,4,Yes,Commercial,13538580
1499,2,1,4,No,House,8876320
1526,2,1,4,Yes,Commercial,13645040
1855,2,1,5,Yes,Commercial,20996200
1627,2,2,4,Yes,Others,9071125
1846,3,2,5,No,House,10815830
2019,3,2,5,Yes,Others,12802500
1578,2,2,4,Yes,Others,9532500
1780,2,1,4,Yes,Commercial,13346700
662,1,1,2,No,Commercial,4356500
1005,1,1,3,No,Commercial,12257100
839,1,1,2,No,House,4100500
1698,1,1,4,No,House,11527430
878,1,1,3,Yes,House,6452785
835,1,1,3,Yes,House,8434750
911,1,1,3,Yes,Others,7427820
1796,2,1,4,Yes,House,9105350
1004,1,1,3,No,Others,4721500
1694,1,1,4,No,Others,12575010
1244,1,1,3,Yes,Others,7952750
588,1,1,2,No,Others,5705500
2342,4,2,6,Yes,House,12898740
1835,3,2,5,No,Others,10722580
1977,2,1,5,Yes,House,14102960
1961,3,2,5,Yes,Commercial,17612900
1517,2,1,4,Yes,House,7146890
2409,4,2,6,Yes,Others,13476480
1864,3,2,5,No,Commercial,15100560
1643,2,1,4,Yes,Commercial,15599020
1015,1,1,3,Yes,Commercial,11224620
1700,1,1,4,Yes,Others,12477040
624,1,1,2,No,Commercial,4396250
980,1,1,3,No,Commercial,11900750
1003,1,1,3,Yes,Commercial,10090000
1072,1,1,3,Yes,House,6607690
808,1,1,2,No,House,4752250
1027,1,1,3,No,House,7441350
696,1,1,2,No,House,6441250
1716,2,1,4,Yes,House,10359860
1878,3,2,5,No,Commercial,14328720
1699,2,1,4,Yes,Others,11444100
1626,2,1,4,No,House,9680280
1730,2,1,4,No,Commercial,14739360
996,1,1,3,No,Others,8939620
1277,2,1,4,Yes,Commercial,15710400
906,1,1,3,No,Commercial,10226600
1976,2,1,5,No,House,12300050
1776,2,1,4,Yes,House,9989170
1402,2,2,4,No,House,6966500
1160,1,1,3,Yes,Others,9463900
1957,3,2,5,Yes,Commercial,15199450
1887,2,1,5,No,Commercial,20499450
1859,3,2,5,Yes,House,9925210
747,1,1,2,Yes,Commercial,11223550
985,1,1,3,Yes,House,7379505
1024,1,1,3,Yes,Commercial,12091400
1600,2,1,4,Yes,Others,10530200
1276,2,1,4,No,Others,9604120
1159,1,1,3,Yes,House,9062800
1024,1,1,3,Yes,House,4748500
1249,2,2,4,No,Commercial,12642285
839,1,1,3,Yes,Others,9107430
1286,2,1,4,No,House,9153300
2467,4,2,6,No,House,12650920
653,1,1,2,No,Commercial,7635250
606,1,1,2,Yes,Others,7854000
1837,2,1,5,Yes,House,13197230
1880,3,2,5,Yes,Commercial,13669670
2189,3,2,5,Yes,Commercial,18249860
1853,3,2,5,Yes,Commercial,14707330
1057,1,1,3,No,Others,9144840
723,1,1,2,No,Commercial,10969920
1812,2,1,5,No,Others,12248640
1788,1,1,4,Yes,Others,14225180
1615,2,1,4,No,House,8019280
1755,1,1,4,No,House,11410310
1296,2,2,4,No,House,9950600
1554,2,1,4,Yes,House,9980320
1737,1,1,4,Yes,House,14292780
785,1,1,2,Yes,Others,5752875
1678,2,2,4,Yes,Commercial,11883250
2360,4,2,6,Yes,Commercial,19816180
1464,2,1,4,Yes,Others,9394640
1632,2,1,4,Yes,Others,10506420
1755,2,1,4,Yes,Others,8762820
1556,2,1,4,No,Others,9348100
1170,1,1,3,No,House,9134740
901,1,1,3,No,Others,7643255
1160,1,1,3,Yes,Commercial,8886250
1570,2,2,4,Yes,House,6407000
1476,2,2,4,No,Commercial,11536000
586,1,1,2,Yes,Others,5333000
1059,1,1,3,Yes,House,7849250
1712,1,1,4,Yes,House,13797720
847,1,1,3,No,Others,7492300
1192,1,1,3,No,House,5342250
1942,3,2,5,Yes,Commercial,16212650
557,1,1,2,Yes,Others,4710125
1728,2,1,4,Yes,Commercial,14898480
1798,2,1,4,Yes,Commercial,17060380
1497,2,2,4,Yes,House,6931750
1173,1,1,3,Yes,House,8196400
1640,1,1,4,Yes,Commercial,17704670
1747,2,1,4,Yes,Others,10784680
1342,2,2,4,Yes,Commercial,9594250
2000,2,1,5,No,House,13596890
1987,3,2,5,No,Others,11156320
1567,2,2,4,No,Others,7725875
1188,1,1,3,No,Commercial,9819500
737,1,1,2,No,House,3869180
785,1,1,2,Yes,Others,5852625
2078,3,2,5,No,House,9696820
647,1,1,2,Yes,Commercial,9574550
1171,1,1,3,Yes,Others,6102625
2435,4,2,6,Yes,Commercial,20246360
1805,3,2,5,Yes,Commercial,16930470
1145,1,1,3,No,House,5510250
971,1,1,3,No,House,6530500
1657,2,2,4,Yes,Others,10147125
1638,2,1,4,Yes,House,9705900
1284,2,2,4,Yes,Commercial,16107475
1273,2,2,4,No,Others,7451690
1185,1,1,3,Yes,House,10163000
1538,1,1,4,Yes,Commercial,19376950
1929,3,2,5,No,Others,10173980
1656,2,1,4,Yes,House,10910100
1287,2,2,4,Yes,Commercial,15013625
1749,1,1,4,No,Others,11713410
1585,1,1,4,No,Commercial,17382790
1962,2,1,5,Yes,Others,15862990
1425,2,1,4,No,House,8677280
884,1,1,2,Yes,Commercial,8282500
1052,1,1,3,No,Others,7926740
1756,1,1,4,No,House,12093570
523,1,1,2,Yes,House,7390000
1524,2,1,4,Yes,Others,11053290
1949,2,1,5,Yes,Others,14464930
1263,2,1,4,No,Others,10637010
1917,3,2,5,Yes,House,11045960
1401,2,1,4,No,House,7410200
723,1,1,2,No,Others,8645860
1660,1,1,4,No,Commercial,17787740
895,1,1,3,Yes,House,8514750
1889,2,1,5,Yes,House,13841050
1199,1,1,3,No,Others,9160580
782,1,1,2,Yes,Commercial,7794500
1571,1,1,4,Yes,Others,12946530
1848,3,2,5,Yes,Commercial,15883280
1131,1,1,3,Yes,Others,10089670
1062,1,1,3,Yes,House,5335750
1983,3,2,5,Yes,House,12126880
1572,2,1,4,No,House,8165450
1535,1,1,4,No,Others,11484740
1818,2,1,5,Yes,Commercial,22024740
1484,2,1,4,Yes,Other,9771020
2189,3,2,5,No,Others,12071880
1203,2,1,4,No,Commercial,12925550
1610,2,1,4,Yes,Commercial,15387480
863,1,1,3,Yes,House,6637005
985,1,1,3,No,Others,7446875
1623,2,2,4,No,Commercial,11658500
1019,1,1,3,No,House,6663435
1575,2,2,4,Yes,House,9894250
802,1,1,3,No,Others,7968490
1846,2,1,5,No,Others,12403760
759,1,1,2,No,Others,8149280
2060,3,2,5,No,Commercial,16012600
1503,2,1,4,Yes,Others,11121040
1853,3,2,5,Yes,House,9462230
1739,1,1,4,Yes,Commercial,20477590
766,1,1,2,Yes,Commercial,8755500
857,1,1,3,Yes,Others,8471590
1887,2,1,5,No,House,13024030
1502,2,2,4,No,House,8215250
1568,2,1,4,No,Others,6361850
918,1,1,3,No,Commercial,10929300
1289,2,2,4,No,Commercial,14634500
1941,3,2,5,No,Others,12228420
1730,2,1,4,Yes,Others,10494410
1513,2,1,4,Yes,Commercial,12350640
1762,2,1,4,Yes,House,9071080
1970,2,1,5,Yes,House,12450910
1702,2,1,4,No,Commercial,12225650
1726,2,1,4,No,House,6804640
1243,2,1,4,Yes,Commercial,15495150
1550,2,1,4,Yes,Commercial,12456680
1830,3,2,5,Yes,Commercial,16312280
1435,2,2,4,Yes,House,9753250
1729,2,1,4,Yes,Others,10629750
1572,1,1,4,Yes,Commercial,20715860
1145,1,1,3,Yes,Commercial,14297200
1043,1,1,3,Yes,Others,8317410
1332,1,1,3,No,Others,8261500
608,1,1,2,Yes,Commercial,6206250
676,1,1,2,Yes,Commercial,8400465
1685,2,1,4,Yes,Others,11104320
658,1,1,2,No,Others,6083885
1008,1,1,3,No,Others,8836160
1924,2,1,5,No,Others,13620040
2112,3,2,5,No,Commercial,16756460
917,1,1,3,Yes,Commercial,11889950
1353,2,2,4,Yes,Others,8573875
1694,1,1,4,Yes,Others,14054970
1625,1,1,4,Yes,Commercial,18316110
1882,2,1,5,Yes,Others,14761860
1924,2,1,5,Yes,Commercial,22123260
894,1,1,3,No,Commercial,10882400
904,1,1,3,Yes,Others,6863000
1279,2,2,4,No,House,9792910
1547,2,1,4,No,Others,10090590
626,1,1,2,No,House,5072750
1673,1,1,4,No,Others,12156320
1296,2,1,4,Yes,Others,10741020
2194,3,2,5,No,Commercial,16805520
1678,2,1,4,No,Commercial,13586120
702,1,1,2,Yes,House,8021300
1067,1,1,3,Yes,House,7960405
980,1,1,3,Yes,Commercial,11847350
1989,3,2,5,Yes,House,11985600
1257,2,1,4,No,Commercial,13788450
1069,1,1,3,Yes,Others,10080280
606,1,1,2,No,Commercial,6564750
1449,2,2,4,Yes,House,8861500
1154,1,1,3,No,House,7880000
927,1,1,3,No,Commercial,12682895
1613,2,2,4,Yes,Others,10169625
1851,3,2,5,Yes,House,11959100
1511,2,1,4,No,Commercial,10391900
1765,2,1,4,No,Others,9338880
1238,1,1,3,Yes,Commercial,11329750
934,1,1,3,Yes,House,8469050
754,1,1,2,Yes,House,7705800
1736,1,1,4,Yes,Others,14057180
980,1,1,3,Yes,House,8621500
1299,1,1,3,No,Commercial,9338500
849,1,1,2,No,Others,5668875
1450,2,1,4,Yes,Others,10040420
1634,1,1,4,Yes,House,12730270
1320,1,1,3,Yes,Commercial,11071500
769,1,1,2,Yes,House,7261650
1150,1,1,3,Yes,House,6982000
908,1,1,3,No,Others,7546960
1668,2,2,4,Yes,Commercial,13650500
1990,3,2,5,No,House,10652120
1857,2,1,5,No,Others,13378610
2061,3,2,5,Yes,Commercial,17265880
1668,2,1,4,No,House,10044620
1444,2,1,4,No,House,9153720
1121,1,1,3,Yes,Others,9089520
1514,2,1,4,Yes,House,9075660
1256,2,1,4,Yes,House,9957800
672,1,1,2,Yes,Others,5805250
908,1,1,3,Yes,Commercial,13087155
1631,2,2,4,Yes,House,9314000
1001,1,1,3,Yes,Others,10533755
1618,2,1,4,No,Commercial,11462310
2340,4,2,6,Yes,Others,12948200
1159,1,1,3,No,Others,6149625
1775,2,1,4,Yes,Others,11031600
1008,1,1,3,No,Commercial,12713050
1563,2,1,4,Yes,Commercial,15664740
1723,2,1,4,Yes,House,11265520
1543,2,1,4,No,Commercial,12900790
1231,2,1,4,No,Others,10271420
1995,2,1,5,No,Others,14154840
2113,3,2,5,No,Others,12160420
1849,2,1,5,Yes,Commercial,22084180
1095,1,1,3,Yes,Others,9953350
1057,1,1,3,No,Commercial,8788500
841,1,1,2,Yes,House,6266250
693,1,1,2,Yes,House,6879510
1666,1,1,4,No,House,11991280
1517,1,1,4,Yes,Commercial,19817860
1854,2,1,5,No,Commercial,19766360
789,1,1,2,No,Commercial,8098070
760,1,1,2,Yes,House,8274000
1137,1,1,3,No,Others,8912540
1687,1,1,4,Yes,Commercial,19609810
984,1,1,3,Yes,House,5340750
1662,2,2,4,No,Commercial,12825500
1065,1,1,3,No,Others,8717385
1621,2,1,4,No,Others,9928200
703,1,1,2,Yes,Others,8231860
1221,2,1,4,No,Others,9833270
1577,2,1,4,No,Commercial,13277420
989,1,1,3,Yes,Others,10613930
1368,2,1,4,Yes,Others,10801520
2365,4,2,6,Yes,Commercial,18637600
1525,1,1,4,No,Commercial,17566590
1180,1,1,3,Yes,House,9397585
1122,1,1,3,No,Others,6889250
1775,1,1,4,Yes,Commercial,19512010
1877,2,1,5,No,Others,13064510
760,1,1,2,No,House,8386750
2297,4,2,6,No,Others,11569680
787,1,1,2,Yes,Others,7825375
2317,4,2,6,No,House,10502160
749,1,1,2,Yes,House,5286000
1616,2,1,4,No,House,9794230
1284,2,2,4,Yes,House,9885575
756,1,1,2,Yes,Commercial,10478100
1238,2,1,4,No,House,9345900
1236,2,1,4,Yes,House,9314050
1664,1,1,4,No,Others,13251910
1537,1,1,4,No,Commercial,18331880
1731,2,1,4,No,Commercial,13478680
929,1,1,3,Yes,House,8907400
786,1,1,2,No,House,8185800
1370,2,2,4,Yes,Others,9125250
1685,2,2,4,No,House,6922750
1549,1,1,4,No,House,12133650
1539,1,1,4,Yes,Commercial,18200410
1898,2,1,5,No,Others,13485130
918,1,1,3,Yes,Commercial,11762550
774,1,1,2,Yes,Others,9104380
1072,1,1,3,No,Commercial,11935950
1239,2,1,4,Yes,Others,10881130
1362,2,1,4,No,Commercial,12146740
1785,1,1,4,Yes,Others,14128990
2181,3,2,5,Yes,House,11821400
2033,3,2,5,Yes,Others,12528840
952,1,1,3,No,Commercial,10552045
1066,1,1,3,No,Commercial,12406100
1153,1,1,3,Yes,Commercial,14377300
1849,3,2,5,Yes,House,9487400
1095,1,1,3,Yes,House,5472500
1100,1,1,3,Yes,Others,10252895
1300,2,2,4,No,House,10989305
1806,2,1,5,No,House,11838240
1897,2,1,5,No,House,12624040
1121,1,1,3,No,House,8288050
985,1,1,3,No,Commercial,11903865
1782,2,1,4,Yes,Others,10274050
1582,1,1,4,No,Commercial,17398770
1225,2,1,4,Yes,House,9680500
1727,2,1,4,Yes,House,11855060
1712,2,1,4,Yes,Commercial,15849210
1089,1,1,3,Yes,Others,8585715
1532,2,1,4,No,Commercial,11452010
1301,1,1,3,Yes,Others,9675500
812,1,1,3,No,Others,6285850
863,1,1,3,No,House,7813750
1686,2,1,4,Yes,House,10094840
1332,1,1,3,No,Commercial,11235750
969,1,1,3,Yes,Commercial,13556150
1300,2,2,4,No,House,9023925
593,1,1,2,Yes,Others,4863375
809,1,1,3,No,House,6511200
1105,1,1,3,Yes,Others,7511125
542,1,1,2,No,Others,3013500
1608,2,2,4,No,House,9243750
2271,4,2,6,No,Commercial,17422860
1915,3,2,5,No,House,9917200
2152,3,2,5,No,Commercial,16834800
1068,1,1,3,No,Others,7586885
1810,3,2,5,No,House,8907630
1939,3,2,5,Yes,Others,9519320
1905,2,1,5,No,Commercial,20591900
1057,1,1,3,Yes,House,8111350
1920,3,2,5,Yes,Commercial,16484920
1577,1,1,4,No,House,11992650
787,1,1,2,Yes,Others,5256625
1916,2,1,5,Yes,House,14715230
1527,2,1,4,Yes,Others,10829380
1248,2,1,4,No,House,9747000
1555,2,1,4,No,House,8762530
2323,4,2,6,No,Commercial,17529340
961,1,1,3,Yes,House,9198300
849,1,1,3,No,Others,8823380
1938,3,2,5,Yes,Commercial,15317750
1147,1,1,3,No,Others,10152390
1976,2,1,5,Yes,Commercial,22829130
973,1,1,3,No,Other,6878875
1472,2,1,4,Yes,Others,11506980
1689,1,1,4,No,Others,13454780
1208,1,1,3,Yes,Commercial,12048000
1268,2,2,4,No,Others,10769525
1640,1,1,4,No,House,10342830
635,1,1,2,Yes,House,5597240
1996,3,2,5,Yes,House,11307820
2404,4,2,6,No,House,11040620
1675,2,1,4,Yes,Commercial,13190720
797,1,1,2,No,Others,7160890
1256,1,1,3,No,Others,5643000
1938,2,1,5,Yes,Commercial,22181670
757,1,1,2,Yes,Commercial,11415700
520,1,1,2,No,House,4849000
878,1,1,2,Yes,Commercial,10387250
927,1,1,3,Yes,Commercial,10889570
1751,2,1,4,Yes,House,10358610
764,1,1,2,No,Others,8476180
1674,2,1,4,No,Commercial,13098030
1681,2,1,4,Yes,House,10644830
1976,2,1,5,No,Commercial,21473270
1505,1,1,4,No,House,9630420
888,1,1,2,No,House,6428250
1680,2,1,4,Yes,House,7418190
631,1,1,2,Yes,Others,6543375
1227,2,1,4,Yes,House,10787350
1124,1,1,3,Yes,Others,7827250
1962,2,1,5,Yes,Commercial,22449450
1261,2,1,4,No,Others,9718570
1164,1,1,3,No,Commercial,13271000
1313,1,1,3,Yes,House,9414520
1723,1,1,4,Yes,Commercial,19909630
1144,1,1,3,Yes,Commercial,14926255
1740,2,1,4,Yes,Commercial,16803310
1163,1,1,3,Yes,Others,10471560
708,1,1,2,No,House,7745900
1855,3,2,5,No,House,7603630
563,1,1,2,No,Commercial,7116000
1768,1,1,4,Yes,Others,14739250
943,1,1,3,Yes,House,5796000
931,1,1,3,No,House,7520800
1127,1,1,3,Yes,House,9701800
1629,2,1,4,No,Commercial,14192960
1656,1,1,4,Yes,Others,14920370
1676,1,1,4,Yes,House,12961070
856,1,1,3,No,House,8191250
1663,2,1,4,Yes,Commercial,14684370
1905,2,1,5,Yes,House,13152750
861,1,1,2,Yes,Others,8245625
1183,1,1,3,Yes,Others,9627210
1352,2,2,4,Yes,Commercial,10937250
1510,1,1,4,No,Others,10975430
987,1,1,3,Yes,Others,9963440
1245,1,1,3,Yes,Others,7830375
1144,1,1,3,No,House,7464800
790,1,1,2,No,House,6846100
1736,2,1,4,Yes,Others,11252380
1950,3,2,5,Yes,House,11266200
2186,3,2,5,Yes,Commercial,17733960
843,1,1,3,No,House,8335390
1022,1,1,3,No,House,9036250
2397,4,2,6,No,Others,11770840
1083,1,1,3,No,Others,9519460
923,1,1,3,No,Commercial,8984810
1958,2,1,5,Yes,Commercial,22744800
631,1,1,2,Yes,House,8141330
1829,2,1,5,No,Commercial,19806350
2228,4,2,6,No,House,11966860
1969,2,1,5,Yes,Others,15342740
1128,1,1,3,No,Others,9985710
922,1,1,3,No,Others,6442655
1141,1,1,3,Yes,Commercial,13883800
1537,2,1,4,No,House,9920630
720,1,1,2,Yes,Commercial,11427045
2175,3,2,5,No,Others,11790660
1152,1,1,3,Yes,Others,8235750
2278,4,2,6,Yes,House,12527740
2460,4,2,6,Yes,Commercial,19389140
1940,3,2,5,Yes,Commercial,17797530
693,1,1,2,No,Others,4680125
966,1,1,3,No,House,8952550
898,1,1,3,Yes,House,9350380
918,1,1,3,No,Commercial,9876540
1918,2,1,5,No,Commercial,19609850
2333,4,2,6,No,Commercial,17171100
768,1,1,2,Yes,House,4855000
783,1,1,2,Yes,Others,9165460
1661,1,1,4,No,House,12356960
958,1,1,3,Yes,Commercial,12473300
1276,2,2,4,No,Commercial,12858080
1877,3,2,5,Yes,Commercial,15665660
1845,2,1,5,Yes,House,12053080
1533,2,1,4,Yes,House,9357800
1257,2,1,4,Yes,Others,12851040
1353,2,2,4,Yes,House,9109750
1672,2,1,4,Yes,House,7512030
1097,1,1,3,Yes,Commercial,12764450
1986,3,2,5,Yes,House,10509200
1083,1,1,3,No,House,7155650
1218,2,1,4,Yes,Commercial,12919650
1903,2,1,5,No,Others,13953400
860,1,1,3,Yes,Commercial,12370100
1003,1,1,3,No,Commercial,6329250
1078,1,1,3,Yes,Commercial,12846400
1133,1,1,3,Yes,Others,9728460
1494,2,1,4,No,House,9354680
626,1,1,2,No,Others,8173180
719,1,1,2,No,House,7352150
921,1,1,3,Yes,Others,5655625
1867,2,1,5,Yes,Commercial,21988560
1010,1,1,3,No,House,8867600
1404,2,2,4,No,House,6569750
1305,1,1,3,No,Others,6602375
1647,2,2,4,Yes,Others,10239375
1433,2,2,4,Yes,Others,9831375
925,1,1,3,No,Others,9151000
964,1,1,3,Yes,Others,10066680
571,1,1,2,No,Commercial,7899500
1828,2,1,5,No,Others,12251920
1595,2,2,4,Yes,Others,9495375
615,1,1,2,Yes,Others,7700720
919,1,1,3,Yes,Commercial,12217100
1018,1,1,3,Yes,Others,11139610
1578,1,1,4,No,Commercial,17623460
1660,1,1,4,No,Others,13603120
796,1,1,2,Yes,Commercial,11578050
2416,4,2,6,No,Others,12966920
760,1,1,2,Yes,Others,8519200
1767,2,1,4,No,Commercial,13025260
817,1,1,3,Yes,House,7824600
630,1,1,2,Yes,House,8547835
833,1,1,3,No,Commercial,11165950
740,1,1,2,No,Commercial,9263000
1520,2,1,4,No,Commercial,13560300
769,1,1,2,No,House,6298700
1638,1,1,4,Yes,House,12727790
1857,3,2,5,Yes,Commercial,16185010
924,1,1,3,Yes,Others,9114000
600,1,1,2,Yes,Others,6826655
1964,3,2,5,No,House,9329030
1914,2,1,5,Yes,House,13596110
1678,1,1,4,Yes,Others,13253630
758,1,1,2,Yes,House,6988500
1110,1,1,3,No,Others,6847250
1782,2,1,4,Yes,Others,11671340
1282,2,2,4,Yes,Others,9202070
913,1,1,3,Yes,House,9464900
1545,2,1,4,No,Others,8308730
971,1,1,3,No,Commercial,12038850
605,1,1,2,Yes,Others,5722305
1014,1,1,3,Yes,House,9176650
982,1,1,3,No,Commercial,12775700
